Player Name,Club,Position,Appearances,Squawka Score,Cleansheets,Goals Conceded,POTM,Saves Per Game,Saves Per Goal,Average Claim Success,Average Punch Accuracy,Distribution Success,Average Distribution Length,Yellow Cards,Red Cards,Points,PointsMod
Cristiano Ronaldo,Real Madrid,Forward,16,1338,26,74,0,39,81,14,50,1,0,3,0,230.76,244
Alexandre Lacazette,Lyon,Forward,20,915,19,70,0,36,80,13,45,0,0,1,0,222,235
Alexis Sánchez,Arsenal,Forward,20,749,12,67,0,56,77,16,47,1,1,3,0,209.15,227
Lionel Messi,Barcelona,Forward,18,1392,16,63,0,45,84,14,55,0,1,3,0,204.37,219
Eden Hazard,Chelsea,Midfielder,21,985,8,53,0,53,88,15,63,1,0,1,0,216.275,219
Dimitri Payet,Marseille,Midfielder,19,584,5,52,0,69,80,21,52,1,0,1,0,196.7,200
Christian Eriksen,Tottenham Hotspur,Midfielder,21,611,7,48,0,45,84,17,50,1,0,3,0,192.35,195
Diego Costa,Chelsea,Forward,18,532,15,72,0,30,79,12,38,1,0,7,0,183.395,194
Stewart Downing,West Ham United,Midfielder,20,681,4,48,0,56,86,20,46,2,1,1,0,187,193
Santiago Cazorla,Arsenal,Midfielder,20,776,4,54,0,47,88,16,59,2,0,4,0,182.5,189
Cesc Fàbregas,Chelsea,Midfielder,20,630,2,59,0,63,87,19,46,2,0,7,0,178.5,185
Steven Gerrard,Liverpool,Midfielder,20,487,5,48,0,41,86,21,45,3,1,5,0,175.5,185
John Terry,Chelsea,Defender,21,679,3,80,0,5,92,19,71,7,2,0,0,203.2,181
Raheem Sterling,Liverpool,Midfielder,20,541,4,54,0,49,80,14,55,1,0,3,0,176.5,180
Carlos Tévez,Juventus,Forward,17,747,11,53,0,35,84,15,47,0,0,2,0,165.655,178
Davy Klaassen,Ajax,Midfielder,18,546,5,41,0,33,82,14,51,4,0,2,0,163.85,176
Jordan Henderson,Liverpool,Midfielder,20,446,2,31,0,38,82,18,49,4,0,3,0,162.5,175
Lucas Moura,Paris Saint Germain,Midfielder,19,718,7,48,0,26,87,15,60,1,0,1,0,170.825,174
Branislav Ivanovic,Chelsea,Defender,21,453,2,29,0,23,81,19,58,6,1,4,1,198.5,172
José Callejón,Napoli,Forward,18,488,9,47,0,33,83,16,42,2,0,1,0,158.765,171
André-Pierre Gignac,Marseille,Forward,20,353,12,57,0,12,77,16,32,2,0,1,0,162.15,169
Dusan Tadic,Southampton,Midfielder,19,447,3,56,0,55,79,17,37,1,0,2,0,164.1,167
Arjen Robben,FC Bayern München,Midfielder,13,917,10,58,0,38,83,17,56,1,0,0,0,162.175,165
Naldo,VfL Wolfsburg,Defender,17,765,5,46,0,7,83,23,60,10,1,3,0,191.3,165
Kevin De Bruyne,VfL Wolfsburg,Midfielder,17,434,3,56,0,59,75,21,47,1,0,2,0,160.85,164
Yaya Touré,Manchester City,Midfielder,18,815,7,41,0,20,90,17,50,2,0,4,0,156,162
Winston Reid,West Ham United,Defender,20,319,1,25,0,5,80,22,59,13,0,8,0,190.4,162
Sergio Agüero,Manchester City,Forward,16,710,14,59,0,15,83,11,55,0,0,2,0,154.48,162
Robin van Persie,Manchester United,Forward,20,357,8,56,0,19,85,15,39,1,0,5,0,152.25,161
Gonzalo Higuaín,Napoli,Forward,18,363,9,57,0,23,79,15,35,1,0,1,0,151.645,161
Diego Godín,Atlético de Madrid,Defender,18,487,3,31,0,3,77,22,69,9,1,4,0,183.1,161
Max Kruse,Borussia Mönchengladbach,Forward,15,467,7,71,0,37,79,18,45,1,0,0,0,148.2875,161
Aaron Cresswell,West Ham United,Defender,21,122,1,60,0,22,75,22,54,6,2,3,0,189.1,160
Christophe Jallet,Lyon,Defender,20,495,0,27,0,24,83,18,54,7,0,3,0,186.0,160
Eric Choupo-Moting,FC Schalke 04,Midfielder,17,370,9,63,0,18,69,14,51,2,1,0,0,154,160
James Rodríguez,Real Madrid,Midfielder,16,601,6,63,0,39,87,17,50,1,1,3,0,155.8,159
Mateo Kovacic,Internazionale,Midfielder,18,503,4,30,0,37,86,16,58,1,0,2,1,155.8,159
Mateo Kovacic,Internazionale,Midfielder,18,503,4,30,0,37,86,16,58,1,0,2,1,155.8,159
Mateo Kovacic,Internazionale,Midfielder,18,503,4,30,0,37,86,16,58,1,0,2,1,155.8,159
João Moutinho,Monaco,Midfielder,19,332,2,50,0,35,81,19,49,3,1,4,0,149.75,159
Nacer Chadli,Tottenham Hotspur,Midfielder,18,390,7,58,0,25,83,13,46,1,0,2,0,155.05,158
Ryan Bertrand,Southampton,Defender,20,377,2,50,0,17,79,19,56,4,0,2,0,174.4,158
Florian Thauvin,Marseille,Midfielder,20,100,4,36,0,32,76,19,46,1,0,2,0,154,157
Jérémy Menez,Milan,Forward,18,437,9,50,0,21,82,16,50,1,0,1,0,147.71,157
Jérémy Menez,Milan,Forward,18,437,9,50,0,21,82,16,50,1,0,1,0,147.71,157
Jérémy Menez,Milan,Forward,18,437,9,50,0,21,82,16,50,1,0,1,0,147.71,157
Lasse Schöne,Ajax,Midfielder,16,607,6,52,0,34,86,17,49,1,1,0,0,153,156
Nemanja Matic,Chelsea,Midfielder,20,326,1,42,0,14,87,18,49,6,1,7,0,138,156
Karim Bellarabi,Bayer 04 Leverkusen,Midfielder,17,344,8,57,0,32,63,15,45,1,0,2,0,152.9,156
Mauro Icardi,Internazionale,Forward,19,420,10,48,0,15,74,13,47,1,1,1,0,146.435,154
Mauro Icardi,Internazionale,Forward,19,420,10,48,0,15,74,13,47,1,1,1,0,146.435,154
Mauro Icardi,Internazionale,Forward,19,420,10,48,0,15,74,13,47,1,1,1,0,146.435,154
Jesús Navas,Manchester City,Midfielder,20,290,0,36,0,46,84,15,42,1,0,2,0,150,153
Juan Mata,Manchester United,Midfielder,18,397,5,44,0,27,90,17,40,1,0,0,0,149.5,153
Alex Oxlade-Chamberl..,Arsenal,Midfielder,20,363,1,38,0,31,82,17,55,2,1,4,0,146.5,153
Adam Maher,PSV,Midfielder,14,485,6,54,0,36,84,20,50,2,0,1,0,145.9,152
David Silva,Manchester City,Midfielder,15,401,6,58,0,39,86,14,46,1,2,3,0,148.5,152
Giannelli  Imbula,Marseille,Midfielder,20,576,2,35,0,18,90,19,61,2,0,1,1,145.5,152
Graziano Pellè,Southampton,Forward,21,147,8,33,0,24,65,13,44,1,0,4,0,142.0375,151
Fabien Lemoine,St Etienne,Midfielder,20,161,2,25,0,23,85,19,39,3,0,3,0,141,150
Carlos Bacca,Sevilla,Forward,17,327,10,74,0,13,66,13,42,1,0,3,0,140.695,147
Mario Götze,FC Bayern München,Midfielder,16,340,7,59,0,25,87,14,37,1,0,1,0,143.6,147
Yannick Ferreira-Car..,Monaco,Midfielder,19,329,4,59,0,25,76,16,47,1,0,1,0,143.425,146
Wayne Rooney,Manchester United,Forward,17,539,8,50,0,23,85,19,42,3,1,3,1,136.7625,146
Steven Davis,Southampton,Midfielder,20,148,0,27,0,25,87,18,41,3,1,1,0,137,146
Juan Guillermo Cuadr..,Fiorentina,Midfielder,15,678,4,54,0,33,87,16,59,2,0,4,0,139.75,146
Corentin Tolisso,Lyon,Midfielder,20,281,3,31,0,14,85,17,44,2,1,0,0,139.5,146
Adem Ljajic,Roma,Forward,16,434,6,63,0,22,90,13,51,1,0,0,0,135.6,145
Nabil Fekir,Lyon,Midfielder,16,503,8,65,0,22,85,16,49,0,0,3,0,144.6,145
Toni Kroos,Real Madrid,Midfielder,17,569,1,33,0,39,93,18,51,1,0,1,0,141.2,144
Nicolas N'Koulou,Marseille,Defender,17,715,2,30,0,1,91,22,58,11,0,2,0,166.5,144
Oscar,Chelsea,Midfielder,17,401,4,43,0,29,84,16,40,2,0,4,0,137.7,144
Roman Neustädter,FC Schalke 04,Midfielder,17,261,2,43,0,5,85,19,46,7,1,3,0,122.675,144
Martin Skrtel,Liverpool,Defender,18,578,1,22,0,3,92,19,63,13,4,5,0,182.9,143
Erik Lamela,Tottenham Hotspur,Midfielder,19,209,1,55,0,30,82,14,46,2,0,3,0,136.8,143
Per Mertesacker,Arsenal,Defender,20,468,0,13,0,2,89,18,63,8,2,2,0,165.5,143
Hakan Calhanoglu,Bayer 04 Leverkusen,Midfielder,17,190,4,39,0,37,71,18,40,1,0,2,0,139.175,142
Miralem Pjanic,Roma,Midfielder,17,442,3,53,0,33,91,16,36,2,1,6,0,135.975,142
Maxime Gonalons,Lyon,Midfielder,19,440,0,25,0,8,90,21,55,5,0,3,0,126.875,142
Antoine Griezmann,Atlético de Madrid,Forward,18,264,8,56,0,12,81,13,38,0,1,3,0,135.005,142
Marek Hamsik,Napoli,Midfielder,16,359,3,59,0,37,82,16,46,1,0,0,0,138.2,141
Neymar,Barcelona,Forward,15,575,12,57,0,13,76,11,56,0,0,3,0,135.025,141
James Tomkins,West Ham United,Defender,15,390,1,27,0,8,77,23,67,12,1,5,0,172.0,141
Thomas Müller,FC Bayern München,Midfielder,16,344,7,62,0,23,67,15,45,1,0,0,0,137.8,141
Franck Tabanou,St Etienne,Defender,18,319,0,33,0,15,77,19,52,8,0,2,0,162.7,139
Marco Parolo,Lazio,Midfielder,17,279,3,58,0,19,79,17,41,4,0,4,0,127,139
Victor Wanyama,Southampton,Midfielder,19,306,3,50,0,8,85,17,49,3,0,4,0,129.65,139
Keisuke Honda,Milan,Forward,16,428,6,72,0,18,80,17,48,2,0,1,0,130.6,138
Keisuke Honda,Milan,Forward,16,428,6,72,0,18,80,17,48,2,0,1,0,130.6,138
Keisuke Honda,Milan,Forward,16,428,6,72,0,18,80,17,48,2,0,1,0,130.6,138
Pierre-Emerick Aubam..,Borussia Dortmund,Midfielder,17,223,5,59,0,33,68,15,29,1,0,1,0,135.225,138
Harry Kane,Tottenham Hotspur,Forward,17,324,8,58,0,13,76,14,43,1,0,1,0,131.72,138
Willian,Chelsea,Midfielder,20,269,1,48,0,20,85,18,53,1,0,2,0,135,138
Gary Cahill,Chelsea,Defender,20,418,1,45,0,2,87,20,60,8,4,3,0,166.5,138
Max Gradel,St Etienne,Forward,18,250,4,47,0,26,75,17,52,1,0,2,0,127.525,137
Fernandinho,Manchester City,Midfielder,18,303,2,38,0,16,90,14,45,3,0,4,0,127.75,137
Nathaniel Clyne,Southampton,Defender,19,376,2,50,0,11,78,18,48,5,0,3,0,152.1,137
Filip Djordjevic,Lazio,Forward,18,129,7,59,0,13,68,12,33,1,0,1,0,130.09,136
Claudio Marchisio,Juventus,Midfielder,18,501,1,19,0,18,87,19,50,3,0,3,0,126.65,136
Georginio Wijnaldum,PSV,Midfielder,14,477,5,50,0,17,86,16,67,2,0,0,0,129.55,136
Ricky van Wolfswinke..,St Etienne,Forward,18,177,5,72,0,10,77,13,32,1,0,0,0,129.585,136
Jose Fonte,Southampton,Defender,20,597,0,60,0,4,86,22,52,9,1,3,0,158.3,135
Karim Benzema,Real Madrid,Forward,15,476,8,46,0,21,81,13,47,1,0,1,0,126.5875,135
Gary Medel,Internazionale,Midfielder,18,470,0,20,0,12,91,17,53,5,0,5,1,119.8,135
Gary Medel,Internazionale,Midfielder,18,470,0,20,0,12,91,17,53,5,0,5,1,119.8,135
Gary Medel,Internazionale,Midfielder,18,470,0,20,0,12,91,17,53,5,0,5,1,119.8,135
Jacques-Alaixys Roma..,Marseille,Midfielder,16,328,1,17,0,7,88,20,51,7,2,4,1,113.6,135
Klaas-Jan Huntelaar,FC Schalke 04,Forward,16,275,7,70,0,16,76,12,39,1,0,4,0,127.36,134
Joël Veltman,Ajax,Defender,15,611,3,60,0,5,89,22,54,11,2,1,0,164.8,134
Ricardo Rodriguez,VfL Wolfsburg,Defender,12,446,3,62,0,23,82,22,60,6,1,0,0,160.3,134
Koke,Atlético de Madrid,Midfielder,17,93,1,21,0,35,79,17,45,2,0,5,0,127.7,134
Andrea Ranocchia,Internazionale,Defender,17,520,2,30,0,1,84,20,61,7,0,4,0,147.9,133
Andrea Ranocchia,Internazionale,Defender,17,520,2,30,0,1,84,20,61,7,0,4,0,147.9,133
Andrea Ranocchia,Internazionale,Defender,17,520,2,30,0,1,84,20,61,7,0,4,0,147.9,133
Gaël Clichy,Manchester City,Defender,16,433,1,33,0,15,81,17,53,8,1,1,0,159.8,133
James Milner,Manchester City,Midfielder,18,263,0,35,0,35,83,15,44,1,0,1,0,130.15,133
Benjamin Mendy,Marseille,Defender,19,118,0,13,0,25,77,21,51,6,5,4,0,172.4,133
Rodrigo Palacio,Internazionale,Forward,17,200,2,55,0,26,84,14,44,1,1,1,0,122.505,133
Rodrigo Palacio,Internazionale,Forward,17,200,2,55,0,26,84,14,44,1,1,1,0,122.505,133
Rodrigo Palacio,Internazionale,Forward,17,200,2,55,0,26,84,14,44,1,1,1,0,122.505,133
Arturo Vidal,Juventus,Midfielder,15,309,6,52,0,19,83,16,41,2,0,5,0,126.5,133
Giacomo Bonaventura,Milan,Midfielder,16,370,3,33,0,20,81,15,60,2,0,3,0,126.4,132
Giacomo Bonaventura,Milan,Midfielder,16,370,3,33,0,20,81,15,60,2,0,3,0,126.4,132
Giacomo Bonaventura,Milan,Midfielder,16,370,3,33,0,20,81,15,60,2,0,3,0,126.4,132
Giacomo Bonaventura,Milan,Midfielder,16,370,3,33,0,20,81,15,60,2,0,3,0,126.4,132
Brice Dja Djédjé,Marseille,Defender,19,378,0,43,0,21,87,20,45,5,1,1,0,155.8,132
Stephan Lichtsteiner,Juventus,Defender,17,249,2,50,0,16,79,16,54,4,0,4,1,148.2,132
Javier Pastore,Paris Saint Germain,Midfielder,18,386,1,53,0,23,83,17,55,1,0,0,0,129.1,132
Stéphane Ruffier,St Etienne,Goalkeeper,20,349,12,0.65,0,2.2,4,100,30,65,39,0,0,96,132
Paul Pogba,Juventus,Midfielder,15,339,4,44,0,22,81,16,55,2,0,3,0,126,132
Thulani Serero,Ajax,Midfielder,17,364,1,33,0,9,89,15,54,4,0,1,0,119.775,132
Danny Welbeck,Arsenal,Forward,16,405,4,50,0,26,83,11,49,2,0,2,0,121.88,132
Borja Valero,Fiorentina,Midfielder,15,285,2,35,0,35,84,17,48,2,1,5,0,125.5,132
Radja Nainggolan,Roma,Midfielder,17,421,3,36,0,16,87,19,49,2,0,4,0,124.8,131
Ricardo van Rhijn,Ajax,Defender,16,388,2,29,0,21,86,19,43,6,1,1,0,155.6,130
Edinson Cavani,Paris Saint Germain,Forward,18,416,7,51,0,9,79,14,47,1,0,1,1,123.945,130
Christoph Kramer,Borussia Mönchengladbach,Midfielder,15,218,2,67,0,13,86,17,48,5,0,4,0,114.25,129
Jan Vertonghen,Tottenham Hotspur,Defender,17,367,0,43,0,2,87,20,58,10,0,3,0,150.2,129
Ivan Rakitic,Barcelona,Midfielder,16,432,3,40,0,18,90,16,40,2,0,0,0,123,129
Robin Knoche,VfL Wolfsburg,Defender,15,451,2,40,0,3,84,23,62,9,2,0,0,154.3,129
Marcos Alonso,Fiorentina,Defender,17,271,0,12,0,17,80,18,54,5,0,3,0,147.0,128
Samir Nasri,Manchester City,Midfielder,16,451,0,54,0,43,90,13,51,0,0,3,0,128.4,128
Senad Lulic,Lazio,Midfielder,16,143,3,53,0,23,78,18,37,3,1,6,0,119,128
Philippe Coutinho,Liverpool,Midfielder,18,354,2,50,0,19,81,16,49,1,1,2,0,124.5,128
Nigel de Jong,Milan,Midfielder,14,452,2,43,0,4,89,22,58,7,0,8,0,106.45,127
Nigel de Jong,Milan,Midfielder,14,452,2,43,0,4,89,22,58,7,0,8,0,106.45,127
Nigel de Jong,Milan,Midfielder,14,452,2,43,0,4,89,22,58,7,0,8,0,106.45,127
Nigel de Jong,Milan,Midfielder,14,452,2,43,0,4,89,22,58,7,0,8,0,106.45,127
Son Heung-Min,Bayer 04 Leverkusen,Forward,16,205,5,45,0,24,76,13,45,1,1,3,0,118.36,127
Juan Bernat,FC Bayern München,Defender,17,599,0,46,0,12,89,16,61,3,0,0,0,139.1,127
Tony Jantschke,Borussia Mönchengladbach,Defender,16,452,1,50,0,5,86,19,57,9,1,2,0,150.6,127
Samuel Umtiti,Lyon,Defender,18,528,1,33,0,4,86,22,50,8,1,1,0,148.0,127
Gareth Bale,Real Madrid,Forward,14,452,8,54,0,17,79,15,55,1,1,1,0,119.785,127
Stefan Savic,Fiorentina,Defender,17,483,2,50,0,5,88,20,48,9,0,4,1,147.2,127
Felipe Anderson,Lazio,Midfielder,16,424,5,59,0,15,78,16,51,1,0,3,0,123.6,127
Stefan Kießling,Bayer 04 Leverkusen,Forward,17,170,3,43,0,28,69,12,47,2,0,2,0,116.6675,127
Mathieu Flamini,Arsenal,Midfielder,16,392,0,0,0,5,92,16,48,6,2,3,0,108,126
Anwar El Ghazi,Ajax,Forward,16,329,6,55,0,16,69,17,48,1,0,0,0,118.84,126
Andrea Raggi,Monaco,Defender,17,232,0,0,0,3,79,23,66,7,1,5,0,144.1,126
Xabi Alonso,FC Bayern München,Midfielder,15,600,1,60,0,23,90,20,50,3,0,3,0,116.5,126
Aaron Ramsey,Arsenal,Midfielder,14,302,3,31,0,28,85,17,42,2,2,2,0,119.45,125
Jérémy Toulalan,Monaco,Midfielder,16,381,0,25,0,7,80,20,56,6,2,4,0,107.4,125
Luciano Narsingh,PSV,Forward,14,318,3,55,0,31,80,13,61,0,0,1,0,114.45,125
Raffael,Borussia Mönchengladbach,Forward,15,362,3,57,0,24,83,15,48,0,0,0,0,115.3875,125
Niklas Moisander,Ajax,Defender,17,410,0,40,0,5,88,21,54,8,0,1,0,143.0,124
Andrea Poli,Milan,Midfielder,18,142,1,18,0,12,86,15,50,2,0,2,0,118.2,124
Andrea Poli,Milan,Midfielder,18,142,1,18,0,12,86,15,50,2,0,2,0,118.2,124
Andrea Poli,Milan,Midfielder,18,142,1,18,0,12,86,15,50,2,0,2,0,118.2,124
Andrea Poli,Milan,Midfielder,18,142,1,18,0,12,86,15,50,2,0,2,0,118.2,124
Morgan Schneiderlin,Southampton,Midfielder,16,307,3,42,0,10,89,18,39,4,0,5,1,112.2,124
Luuk de Jong,PSV,Forward,13,416,6,59,0,25,73,12,57,2,0,0,0,115.5275,124
Toby Alderweireld,Southampton,Defender,16,364,1,33,0,5,81,24,54,8,0,2,0,142.4,124
Clinton N'Jie,Lyon,Forward,18,144,1,71,0,14,76,14,40,0,0,0,0,116.73,124
Lars Bender,Bayer 04 Leverkusen,Midfielder,14,256,1,33,0,15,69,16,55,6,0,4,0,105.4,123
Robert Lewandowski,FC Bayern München,Forward,15,362,7,54,0,14,72,13,45,1,0,0,0,116.55,123
Hernanes,Internazionale,Midfielder,14,379,2,35,0,28,84,15,49,2,0,2,0,116.55,123
Hernanes,Internazionale,Midfielder,14,379,2,35,0,28,84,15,49,2,0,2,0,116.55,123
Hernanes,Internazionale,Midfielder,14,379,2,35,0,28,84,15,49,2,0,2,0,116.55,123
Fernando Llorente,Juventus,Forward,17,126,4,57,0,14,72,11,42,1,0,0,0,115.765,122
Emir Spahic,Bayer 04 Leverkusen,Defender,16,272,1,33,0,1,73,22,60,10,1,5,1,145.8,122
Jordi Alba,Barcelona,Defender,15,518,1,64,0,17,88,15,52,5,0,2,0,140.8,122
Vieirinha,VfL Wolfsburg,Midfielder,16,206,1,50,0,20,70,19,48,3,0,0,0,113.2,122
Antonio Candreva,Lazio,Midfielder,15,427,2,53,0,25,81,17,58,1,0,1,0,119.125,122
Fraser Forster,Southampton,Goalkeeper,21,287,10,0.71,0,2,2.8,98,29,62,44,0,0,92,122
Stefan de Vrij,Lazio,Defender,17,460,0,44,0,5,85,23,48,11,0,3,1,146.2,122
Gonzalo Rodríguez,Fiorentina,Defender,16,415,2,56,0,4,83,24,54,9,1,6,1,144.6,122
Tiago,Atlético de Madrid,Midfielder,13,383,3,73,0,9,82,17,49,5,0,1,0,106.575,122
Fabinho,Monaco,Defender,18,320,0,25,0,8,80,19,52,5,0,2,0,135.4,121
Ralf Fährmann,FC Schalke 04,Goalkeeper,17,292,5,1.24,0,3.35,2.85,100,35,60,40,0,0,106,121
Florentin Pogba,St Etienne,Defender,13,387,1,40,0,1,81,23,63,11,0,0,0,143.4,121
Dodô,Internazionale,Defender,16,195,0,50,0,16,80,15,56,4,0,3,0,136.7,121
Dodô,Internazionale,Defender,16,195,0,50,0,16,80,15,56,4,0,3,0,136.7,121
Dodô,Internazionale,Defender,16,195,0,50,0,16,80,15,56,4,0,3,0,136.7,121
Lukasz Piszczek,Borussia Dortmund,Defender,16,69,0,57,0,10,73,20,62,4,0,2,0,133.6,121
